policy,fill_rate,stockout_rate,holding_cost,shortage_cost,total_cost,units_ordered,units_lost,units_demanded
point_forecast (order the mean),0.6102721112536106,0.33797146605444406,45170.55573617382,497044.4968440823,542215.0525802561,767451.073510009,480052.78315380774,1231764.0
median_forecast (order P50),0.4876603370521079,0.37568757906573585,20744.715052749012,651028.3447094406,671773.0597621896,609037.4997284237,631081.5525913474,1231764.0
newsvendor (order Q* at CR=0.909),0.9210239236868129,0.07272290680785269,215867.2495420572,99989.84813498722,315857.0976770444,1210206.434363995,97279.88766383663,1231764.0
