policy,fill_rate,stockout_rate,holding_cost,shortage_cost,total_cost,units_ordered,units_lost,units_demanded
point_forecast (order the mean),0.25593305590969606,0.42100805884833437,22703.029560415926,883181.390109642,905884.4196700578,351024.8590897992,916514.8753204491,1231764.0
median_forecast (order P50),0.6113080113965517,0.2690858829592841,91871.39996718579,474755.6828614561,566627.0828286419,790382.6929644669,478776.79865013796,1231764.0
newsvendor (order Q* at CR=0.909),0.8521554495440365,0.08813428290305955,331677.6311389419,177753.91114485203,509431.5422837939,1179649.3098123297,182109.59484783933,1231764.0
